nr_conta;dt_interface;dt_movimentacao;mercado;sub_mercado;produto;ativo;emissor;indexador;cnpj_fundo;cge_fundo;tipo;tipo_opcao;quantidade;vl_custo;vl_bruto;vl_ir;vl_iof;vl_taxa;vl_taxa_compra;taxa_indexador;vl_preco_mercado;vl_preco_compra;vl_premio;vl_exercicio;vl_liquido;quantidade_contrato;vl_contrato;dt_aquisicao;dt_exercicio;dt_vencimento;vl_futuro_nao_compoem_pl;vl_aluguel_nao_compoem_pl;visualizacao_cliente;vl_bruto_curva_cliente;ir_curva_cliente;iof_curva_cliente;vl_liquido_curva_cliente;vl_bruto_curva_mercado;ir_curva_mercado;iof_curva_mercado;vl_liquido_curva_mercado;cod_certificado;tipo_previdencia
005749763;2026-06-17;2026-06-17;RENDA FIXA;DESCONHECIDO;DEBÊNTURE;DEB-JTEE12;JANAUBA TRANSMISSORA DE ENERGIA ELETRICA S.A;100% IPCA;;;;;25;33464.150000000001;35282.979999999996;0;0;6.29;6.2000000000000002;IPCA;;;;1411.3192047;35282.979999999996;;;2024-08-07;;2044-12-15;0;0;Precificação na Curva Cliente;35282.980117500003;0;0;35282.980117500003;31535.48215;0;0;31535.48215;;
005749763;2026-06-17;2026-06-17;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;19.989999999999998;299865.19;383695.25;14670.26;0;0.14000000000000001;0.14000000000000001;SELIC;;;;19194.360000000001;369024.98999999999;;;2024-07-18;;2029-03-01;0;0;Precificação na Curva Cliente;;;;;383695.25639999995;14670.261199999999;0;369024.99519999995;;
005749763;2026-06-17;2026-06-17;RENDA FIXA;PRIVADO;CRA;CRA-CRA023007VE;BTG COMMODITIES 2A SERIE;PRE;;;;;39;45710.879999999997;56058.769999999997;0;0;11.69;11.69;PRE;;;;1437.4045377699999;56058.769999999997;;;2024-08-07;;2029-07-05;0;0;Precificação na Curva Cliente;56058.776973029999;0;0;56058.776973029999;53164.546325279996;0;0;53164.546325279996;;
008324834;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;9;39172.059999999998;38150.240000000005;0;0;7.4800000000000004;7.46;IPCA;;;;4238.9162159999996;38150.240000000005;;;2026-03-05;;2033-05-15;0;0;Precificação na Curva Mercado;39673.679742;278.66055779999999;0;39395.019184199999;38150.245943999995;0;0;38150.245943999995;;
004432667;2026-06-17;2026-06-17;RENDA FIXA;PRIVADO;CRA;CRA-CRA0240086K;SEARA;100% IPCA;;;;;10;10237.4;9371.6800000000003;0;0;7.4500000000000002;7.4500000000000002;IPCA;;;;937.16859566000005;9371.6800000000003;;;2025-07-09;;2034-09-15;0;0;Precificação na Curva Mercado;10709.1945244;0;0;10709.1945244;9371.6859566000003;0;0;9371.6859566000003;;
004432695;2026-06-17;2026-06-17;RENDA FIXA;PRIVADO;CRI;CRI-22D1289008;REDE DOR VIII;100% IPCA;;;;;10;10732.25;10627.83;0;0;7.6500000000000004;7.6500000000000004;IPCA;;;;1062.7830564999999;10627.83;;;2025-09-01;;2032-06-15;0;0;Precificação na Curva Mercado;11140.067945700001;0;0;11140.067945700001;10627.830565;0;0;10627.830565;;
004432667;2026-06-17;2026-06-17;RENDA FIXA;DESCONHECIDO;DEBÊNTURE;DEB-ENGIB0;ENERGISA S/A;100% IPCA;;;;;10;10220.43;10333.35;0;0;7.2800000000000002;7.2800000000000002;IPCA;;;;1033.335163;10333.35;;;2025-07-09;;2031-04-15;0;0;Precificação na Curva Mercado;10737.004778499999;0;0;10737.004778499999;10333.351629999999;0;0;10333.351629999999;;
008595718;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;4;17020.009999999998;17293.77;154.83000000000001;0;7.4800000000000004;7.5099999999999998;IPCA;;;;4323.4449439999999;17138.939999999999;;;2025-11-04;;2035-05-15;0;0;Precificação na Curva Cliente;17293.779775999999;154.83274320000001;0;17138.947032799999;16774.066056;50.889999199999998;0;16723.176056799999;;
004432667;2026-06-17;2026-06-17;RENDA FIXA;BANCARIO;LCA;LCA-25F08539417;BANCO COOPERATIVO SICOOB S.A.;95% CDI;;;;;25;24963.310000000001;28206.27;0;0;0;95;CDI;;;;1128.25089628;28206.27;;;2025-07-09;;2027-06-30;0;0;Precificação na Curva Mercado;28206.272407;0;0;28206.272407;;;;;;
004432667;2026-06-17;2026-06-17;RENDA FIXA;DESCONHECIDO;DEBÊNTURE;DEB-PEJA11;PRIO FORTE S.A.;100% IPCA;;;;;10;11737.879999999999;11860.5;0;0;7.3700000000000001;7.3700000000000001;IPCA;;;;1186.0508990000001;11860.5;;;2025-07-09;;2032-08-15;0;0;Precificação na Curva Mercado;12217.837672400001;0;0;12217.837672400001;11860.50899;0;0;11860.50899;;
004432695;2026-06-17;2026-06-17;RENDA FIXA;DESCONHECIDO;DEBÊNTURE;DEB-CEPEC2;COMPANHIA ENERGETICA DE PERNAMBUCO;100% IPCA;;;;;10;11166.190000000001;11310;0;0;7.5099999999999998;7.5099999999999998;IPCA;;;;1131.000978;11310;;;2025-07-31;;2032-04-15;0;0;Precificação na Curva Mercado;11642.679643900001;0;0;11642.679643900001;11310.00978;0;0;11310.00978;;
008186983;2026-06-17;2026-06-17;FUNDOS;FN;ARTESANAL CREDITO PRIVADO FICFIM;;;;20441301000168;535221;;;10023.73473556;;45314.360000000001;1547.1500000000001;0;;;;;;;4.5207055260000004;43767.209999999999;;;;;;0;0;;;;;;;;;;;
008186983;2026-06-17;2026-06-17;FUNDOS;FN;BTG TESOURO SELIC FIRFREFDI;;;;09215250000113;1173358;;;3860.5792520000005;;21253.860000000001;91.129999999999995;0.80000000000000004;;;;;;;5.505355533885;21161.93;;;;;;0;0;;;;;;;;;;;
008186983;2026-06-17;2026-06-17;FUNDOS;FN;REAL INVESTOR CREDITO ESTRUT FICFIM CRPR;;;;46521568000159;4296812;;;46464.536268000003;;85076.380000000005;508.01999999999998;0;;;;;;;1.8309960000000001;84568.360000000001;;;;;;0;0;;;;;;;;;;;
008720704;2026-06-17;2026-06-17;FUNDOS;FN;BTG DIGITAL TESOURO SELIC SIMPLES FIRF;;;;29562673000117;1170853;;;45537.963529000001;;91908.540000000008;377.63999999999999;0;;;;;;;2.018284034828;91530.899999999994;;;;;;0;0;;;;;;;;;;;
008186983;2026-06-17;2026-06-17;FUNDOS;FN;M8 CREDIT ADVANCED FICFIDC;;;;50716952000184;8518115;;;50070.951491;;77002.080000000002;2103.79;0;;;;;;;1.5378592;74898.290000000008;;;;;;0;0;;;;;;;;;;;
005011677;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;1;4270.5600000000004;4193.5100000000002;0;0;7.0800000000000001;7.0899999999999999;IPCA;;;;4193.5165139999999;4193.5100000000002;;;2025-12-05;;2035-05-15;0;0;Precificação na Curva Mercado;4441.5135129999999;37.151541199999997;0;4404.3619718;4193.5165139999999;0;0;4193.5165139999999;;
